,routeNameList,RouteLinks,busname,bustypes,dptimes,dplocs,runtime,bptimes,bplocs,nextday,ratings,ratingppl,busfare,oldfares,seatavail,wseatavail
0,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-PURULIA - KOLKATA - VIA - BNK - 06:30 (HWH DEPOT) - 834,Non AC Seater (2+3),10:20,DURGAPUR CITY CENTER,03h 30m,13:50,Esplanade,N/A,4.0,10,INR 150,N/A,43 Seats available,18 Window
1,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - BONGAON - VIA - HABRA - 09:25 (ASN DEPOT - 1350,Non AC Seater (2+3),10:35,DURGAPUR CITY CENTER,03h 30m,14:05,Dunlop,N/A,3.9,6,INR 155,N/A,44 Seats available,14 Window
2,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-JHALDA - KARUNAMOYEE - VIA - PRL/ASN - 05:00 - 1089,Non AC Seater (2+3),10:45,DURGAPUR CITY CENTER,04h 00m,14:45,Karunamoyee,N/A,4.5,28,INR 155,N/A,42 Seats available,15 Window
3,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-BAGMUNDI - KOLKATA - 05:00 (BEL DEPOT) - 764,Non AC Seater (2+3),10:50,DURGAPUR CITY CENTER,03h 30m,14:20,Esplanade,N/A,2.5,6,INR 150,N/A,52 Seats available,20 Window
4,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-PURULIA - KOLKATA - 07:15 - (VIA ASN) (HWH DEPO - 2763,Non AC Seater (2+3),11:05,DURGAPUR CITY CENTER,03h 30m,14:35,Esplanade,N/A,4.2,6,INR 150,N/A,52 Seats available,20 Window
5,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KOLKATA - 10:00 (ASANSOL DEPOT) - 147,Non AC Seater (2+3),11:20,DURGAPUR CITY CENTER,03h 30m,14:50,Esplanade,N/A,3.4,15,INR 150,N/A,52 Seats available,20 Window
6,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KOLKATA - 10:30 (ASANSOL DEPOT) - 148,Non AC Seater (2+3),11:40,DURGAPUR CITY CENTER,03h 30m,15:10,Esplanade,N/A,4.2,11,INR 150,N/A,50 Seats available,19 Window
7,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - KARUNAMOYEE - 11:45 (DGP DEPOT) - 139,Non AC Seater (2+3),11:45,DURGAPUR CITY CENTER,04h 00m,15:45,Karunamoyee,N/A,3.8,86,INR 155,N/A,48 Seats available,17 Window
8,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - KOLKATA - 12:00 (DGP DEPOT) - 131,Non AC Seater (2+3),12:00,DURGAPUR CITY CENTER,03h 30m,15:30,Esplanade,N/A,3.9,45,INR 150,N/A,52 Seats available,20 Window
9,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-BANKURA - KARUNAMOYEE - 10:15 (BNK DEPOT) - 820,Non AC Seater (2+3),12:15,DURGAPUR CITY CENTER,04h 00m,16:15,Karunamoyee,N/A,4.1,42,INR 155,N/A,46 Seats available,16 Window
